url,mainBranch,latestCommitSha,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount,searchResultCount
https://github.com/Netflix/Hystrix,master,04949497901e6fcd71f68d804e5b89f9e368271d,1624,230,645,4,50,21,39,203,2,0
https://github.com/roboguice/roboguice,master,c0c61a89ad8ce844858373748f09222de187d61e,1644,437,889,13,22,14,125,67,9,0
https://github.com/etsy/AndroidStaggeredGrid,master,84a06f8da0ba70de32e7373c57f6e38b9d9b6780,1612,282,95,2,5,15,25,62,3,0
https://github.com/apache/cassandra,trunk,6e97178a50d1cc9a6817653e463ef5f0cf132873,1540,533,10000,6,138,33,0,0,18,0
https://github.com/jeresig/processing-js,master,02363398a823eae731cafa180a5581fe353397bf,1553,451,3613,1,23,34,0,0,1,0
https://github.com/springside/springside4,master,c92379755c041cd081c8c4cd881b44283a80f845,1500,1031,793,1,6,13,47,305,4,0
https://github.com/zxing/zxing,master,41caac38e8414be512fee712dae98966b7f4f05e,1494,1066,2835,2,9,9,17,94,1,0
https://github.com/Bukkit/Bukkit,master,ec19988db3ba9415f9453c68b4861ffbe90e4153,1477,951,1480,1,65,104,0,0,71,0
https://github.com/gabrielemariotti/cardslib,master,3a1998cbf4d1ab24a5dcf22441fadafab3da655f,1436,333,330,2,18,5,15,119,5,0
https://github.com/keyboardsurfer/Crouton,master,0957a7ea09e40d521defa28c6d1ffa1127f7e7da,1441,376,377,6,8,28,16,157,2,0
https://github.com/gradle/gradle,master,b690b255ecefe8724fd78e8248d91be054e8e718,1400,595,10000,96,72,93,0,0,29,0
https://github.com/emilsjolander/StickyListHeaders,master,60eecee1b8a53a0c6de9a5d6ddb3cefbfef6d90a,1379,436,342,1,12,30,12,272,1,0
https://github.com/yui/yuicompressor,master,e814062c2f1f8c75decde08e884d84387938faba,1430,266,434,2,42,21,53,83,11,0
https://github.com/xetorthio/jedis,master,ac53759f9706b52184963e98af11d2e44bfb1297,1373,605,735,19,19,51,188,429,60,0
https://github.com/square/okhttp,master,c51e223ff96da5f6581515d7080a080808c35384,1353,263,993,23,12,31,55,635,7,0
https://github.com/aporter/coursera-android,master,a4c1fceac0d2c0a86f74ebad8ccc7539330e8290,1405,1806,30,1,0,3,7,11,5,0
https://github.com/nhaarman/ListViewAnimations,master,98a4793f62bbb4c9c9aaec199ccdeb3b4403a162,1352,500,413,4,23,13,21,150,0,0
https://github.com/47deg/android-swipelistview,master,f0d4859100d7cb80e3e7ca4551daa69d5c61fd25,1486,703,79,2,0,10,58,75,2,0
https://github.com/koush/ion,master,d14f69b87387bb57a213c871ff57dd42c3481e5b,1324,200,473,4,0,12,22,178,0,0
https://github.com/k9mail/k-9,master,8e078bc0146cf0ab02a54c1d852842f6ee734f23,1323,878,4998,70,310,103,0,0,22,0
https://github.com/stephanenicolas/robospice,release,03d119df6de56c0007a65b21582c99adb22734b4,1304,289,726,5,16,16,31,260,5,0
https://github.com/bauerca/drag-sort-listview,master,c3cfccee21676149dfdf8e803c0ec2eaebc6b841,1449,755,165,4,2,8,31,88,2,0
https://github.com/square/otto,master,b821b22e283dabc08ae09786861c4a958000a5ae,1297,257,166,14,9,19,11,100,5,0
https://github.com/voldemort/voldemort,master,351f4dee88829f2107afd5c283fb0768b5282165,1261,353,3606,115,21,46,50,122,19,0
https://github.com/videlalvaro/gifsockets,master,0ccb1fd01edeb835a90c0c1140ad91dbd1a354b1,1285,63,20,1,0,2,1,3,0,0
https://github.com/androidquery/androidquery,master,45ed6c85dcf0b3b58a08810b423886fb275b33b0,1225,390,692,2,21,6,48,45,17,0
https://github.com/johannilsson/android-actionbar,master,093a5f8039dfade914f52b55b5536b95850ddaf1,1242,536,78,3,0,9,28,53,5,0
https://github.com/ACRA/acra,master,ee7085683018b556e73f74b059040d93794cf388,1196,323,433,2,8,10,73,78,11,0
https://github.com/AsyncHttpClient/async-http-client,master,f96bcbbe906c1e472fbbd7cca5cfaf3778db02d6,1175,323,2186,6,51,71,46,488,4,0
https://github.com/pakerfeldt/android-viewflow,master,3da74fa32a935bcbb37e5ebeb270477cde1985d4,1247,529,120,5,0,13,46,59,4,0
https://github.com/xamarin/XobotOS,master,f20db6295e878a2f298c5e3896528e240785805b,1166,213,1,1,0,1,6,0,0,0
https://github.com/umano/AndroidSlidingUpPanel,master,38327d828690da0771e7b35a15a118eeecc20e26,1161,349,104,1,0,13,22,132,4,0
https://github.com/JetBrains/intellij-community,master,e8b5589ad6a04a407d6af701dd72dc0540118688,1124,438,10000,14,15946,102,0,0,34,0
https://github.com/JakeWharton/butterknife,master,3a6f2eb9713cfcea3037282e4fc4d34d50f19d6c,1121,185,200,4,16,18,9,111,2,0
https://github.com/yinwang0/pysonar2,master,240192fb7827dedd9381dbfdd0df3062c47078d0,1128,253,368,3,0,3,4,37,0,0
https://github.com/tinkerpop/gremlin,master,e622d5bf289ef8f74a088dc0237c69b98baf6792,1111,87,1207,3,20,13,17,357,0,0
https://github.com/wildfly/wildfly,master,23dc89381b609dcdac4d2f9da4e4d78b235c51e3,1102,1081,10000,4,42,213,0,0,19,0
https://github.com/commonsguy/cw-omnibus,master,674f1edab621b409922028d0326e02e9ad81015f,1124,1320,392,1,25,2,0,13,0,0
https://github.com/twall/jna,master,323a913bf610c982f43b58883b0fc54c78a29621,1098,267,2549,5,36,44,41,278,8,0
https://github.com/JakeWharton/NineOldAndroids,master,9f20fd77e04942fd50b95aeb1c492a38e36c06dd,1252,562,114,4,9,5,25,44,6,0
https://github.com/purplecabbage/phonegap-plugins,master,319dfb7297002040ec7ab98896e68d05c7fd8180,1083,4531,1633,2,2,199,81,55,22,0
https://github.com/phonegap/phonegap-facebook-plugin,master,ccb2a6f648bb2ed44e4b7b71add4fb7b7e95eaed,1084,761,256,5,12,25,247,203,37,0
https://github.com/Comcast/FreeFlow,master,47bfb57e8037eecae320266cb00dd23e673362e5,1079,123,265,5,2,5,11,39,0,0
https://github.com/yusuke/twitter4j,master,747982dfdccd6d1b2ef4857720fe289455a435a1,1101,495,1833,6,37,74,0,0,5,0
https://github.com/ManuelPeinado/FadingActionBar,master,f679e313d105075cfb389695052348ee09a8e80a,1068,250,111,6,8,3,27,22,5,0
https://github.com/bigbluebutton/bigbluebutton,master,55773f594eed3e0eff5af47ec8cbd6fcf713a56a,1062,1850,6454,57,16,41,0,0,8,0
https://github.com/greenrobot/EventBus,master,0fe7ea575c508ac3b072b4a31ecea9c8680435be,1270,305,155,2,2,6,25,51,5,0
https://github.com/processing/processing,master,9c63a2c4a227ed2329fd01006cb593ba8954962d,1054,254,7789,1,422,38,244,2207,23,0
https://github.com/Athou/commafeed,master,3a8d72cab4038e975af87d8083e2b7e68f2e328c,1048,202,1908,1,4,55,48,535,0,0
https://github.com/Graylog2/graylog2-server,0.20,c1c5491c4a3194a19c21a7c744d5d45421ecd227,1041,163,1815,3,44,29,148,367,1,0
https://github.com/amlcurran/ShowcaseView,master,cc55def081814213c94ad80be4195b17ac4ef18c,1145,355,215,3,3,17,78,92,20,0
https://github.com/jhy/jsoup,master,80158d6fa7445506eaaafdeadb1f4dc291ca10a5,1129,333,629,1,24,21,159,252,38,0
https://github.com/astuetz/PagerSlidingTabStrip,master,3f4738eca833faeca563d93cd77c8df763a45fb6,1340,552,31,2,2,5,52,39,19,0
https://github.com/mttkay/ignition,master,bbeb55cb4f080bdc31e549142ea745c65e4727c7,1058,242,352,5,2,6,36,20,7,0
https://github.com/openaphid/android-flip,master,ab2dea1b045ffc626221c2826ce9dd00823e696d,1142,730,113,2,4,2,55,63,2,0
https://github.com/koush/AndroidAsync,master,09c60732944a20eac52301026e9c24344ccb3062,993,284,574,3,0,20,19,113,2,0
https://github.com/ether/pad,master,cb4977238f55f9b2518e7c43a5c769823b0afd45,987,177,900,4,3,38,0,331,0,0
https://github.com/commonsguy/cw-advandroid,master,ab8e52a00413592b99a7bb9f93050bee760f289f,1028,907,189,1,16,2,0,0,0,0
https://github.com/grails/grails-core,master,048025b9b98332645df30d82593d44b1f7a84bbd,960,504,10000,84,63,139,0,0,23,0
https://github.com/douglascrockford/JSON-java,master,4d86b05d3c6a72e88c476430d60676f9ae2fafab,1052,1009,66,1,0,5,0,0,5,0
https://github.com/pardom/ActiveAndroid,master,bd98740d466249fc085311b1c166570cfc08f532,959,284,261,2,1,26,68,142,9,0
