url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/rockwood/rockcloud-rails,master,0,0,54,2,0,1,0,0,0
https://github.com/WISE-Community/WISE-Tests,master,5,2,70,1,0,5,3,3,0
https://github.com/phstc/aspirinjs,master,0,0,11,1,0,0,0,0,0
https://github.com/jkelabora/rhok-plan-generator,master,1,5,377,2,0,14,2,7,2
https://github.com/andrzejsliwa/cucumber_blank,master,1,0,1,1,0,1,0,0,0
https://github.com/lly123/Cucumber,master,0,0,1,1,0,1,0,0,0
https://github.com/rebyn/flatmates.me,master,1,0,84,8,0,2,0,0,0
https://github.com/sleeper/cucumber-presentation,master,1,1,17,2,0,1,0,0,0
https://github.com/kclasita/chomps,master,0,0,33,1,0,1,0,0,0
https://github.com/denisfedorov/unemployed,master,0,0,32,1,0,1,0,0,0
https://github.com/therealbenjamin/traxter.io,master,0,0,12,1,0,1,0,0,0
https://github.com/adbeelitamar/secondhouz,master,1,1,127,4,0,1,1,0,0
https://github.com/toygar05/Device-Status-Tracking-System,master,0,0,23,1,0,1,0,0,0
https://github.com/CUFACincy/vacant_properties,master,0,0,90,2,0,4,0,0,0
https://github.com/markkendall/lineman-angular-capybara,master,0,0,6,1,0,1,0,0,0
https://github.com/rjspotter/capybara-webkit-0.12.1.build,master,0,0,1,1,0,1,0,0,0
https://github.com/alphagov/transition,master,1,2,1118,28,219,8,2,206,2
https://github.com/jonleighton/poltergeist,master,1324,229,569,2,18,63,93,370,10
https://github.com/kubum/money-rotation-project,master,0,0,65,1,0,1,0,0,0
https://github.com/danielevans/capybara-scraper,master,0,0,3,1,0,1,0,0,0
https://github.com/cdmwebs/Cincy311,master,0,0,30,1,0,1,0,0,0
https://github.com/rkcudjoe/broadcast,master,0,0,31,1,0,1,0,0,0
https://github.com/cdmwebs/kanbaning,ember-setup,0,0,6,1,0,1,0,0,0
https://github.com/daaain/example-acceptance-test-suite-capybara-selenium,master,4,1,13,1,0,2,0,1,0
https://github.com/taoyag/cuke-capybara,master,1,0,1,1,0,1,0,0,0
https://github.com/brighton36/CoinPost,master,20,11,4,1,0,0,1,0,0
https://github.com/rkcudjoe/learn,master,0,0,37,1,0,1,0,0,0
https://github.com/yukke1130/backbone-test,master,0,0,2,1,0,1,0,0,0
https://github.com/chrisroos/money-tracker,master,7,2,224,1,0,3,3,8,3
https://github.com/amirci/devteach12_capybara,master,1,0,36,1,0,1,0,0,0
https://github.com/michael-ns/bauer,master,0,0,12,1,0,1,0,0,0
https://github.com/cnorthwood/liveblogging,master,5,3,97,3,1,3,2,2,0
https://github.com/JustinWUP/collaborator,master,0,0,572,10,20,1,1,0,0
https://github.com/pedromenezes/MegaDriver,master,5,0,11,1,0,1,0,0,0
https://github.com/OneTechLP/Poltergeist,master,0,0,401,1,0,38,0,0,0
https://github.com/GaryHigham/MineSweeperJS,master,0,0,2,1,0,1,0,0,0
https://github.com/clalimarmo/sequence,master,1,0,128,4,1,1,0,0,0
https://github.com/niceguyjames/visor,master,1,0,4,1,0,1,0,0,0
https://github.com/kowal/qa-capybara,master,0,0,5,1,0,1,0,0,0
https://github.com/linstula/abi_and_lin,master,0,0,35,1,0,1,0,1,0
https://github.com/ksross22/capybara_sandbox,master,0,0,2,1,0,1,0,0,0
https://github.com/Genshin/gaku,master,21,18,6787,15,0,10,0,282,0
https://github.com/ecavazos/super_zombies,master,1,0,34,1,0,1,0,0,0
